OfferId,Mileage,Version,BodyStyle,Gearbox,HandDrive,Engine,Color,InteriorColor,EngineVolume,Horsepower,Drivetrain,DoorCount,Wheels,EngineCylinders,Name,Price,Make,Model
2902055,115000km,,Sedan,Automatic,Left,Gasoline,Blue,,,,,,,,2016 Acura TLX,Negotiable,ACURA,TLX
2903270,102000miles,,Sedan,Automatic,Left,Gasoline,Brown,Brown,2.4,,FWD,5,"17""",4,2016 Acura TLX,$ 17 500,ACURA,TLX
2829143,21400km,,Sedan,Automatic,Left,Gasoline,White,,,,,,,,2017 Acura TLX,$ 29 500,ACURA,TLX
2888859,54000miles,,Sedan,Automatic,Left,Gasoline,Silver,,2.4,,FWD,,,4,2018 Acura ILX,$ 17 500,ACURA,ILX
2809581,30426miles,,Sedan,Automatic,Left,Gasoline,Black,,,,,,,,2018 Acura ILX,$ 11 500,ACURA,ILX
2888509,53000miles,,Sedan,Automatic,Left,Gasoline,Gray,,,,,,,,2018 Acura ILX,$ 19 000,ACURA,ILX
2889532,50300miles,2.4,Sedan,Automatic,Left,Gasoline,Gray,,,,,,,,2018 Acura ILX,$ 12 000,ACURA,ILX
2857879,36000miles,sport,Sedan,Automatic,Left,Gasoline,Black,,,,,,,,2018 Acura ILX,$ 20 500,ACURA,ILX
2856697,14000miles,,Sedan,Automatic,Left,Gasoline,Gray,Black,2.5,201,FWD,5,"17""",8,2018 Acura ILX,$ 22 500,ACURA,ILX
2815846,51000miles,,Sedan,Automatic,Left,Gasoline,White,,,,,,,,2016 Acura ILX,$ 16 500,ACURA,ILX
2886546,47790miles,WatchPlus,SUV/Truck,Automatic,Left,Gasoline,White,Beige,3.5,279,AWD4x4,5,"18""",6,2018 Acura RDX,$ 29 000,ACURA,RDX
2909405,94330miles,,SUV/Truck,Automatic,Left,Gasoline,Black,,,,,,,,2018 Acura RDX,$ 22 900,ACURA,RDX
2908941,120000km,,SUV/Truck,Automatic,Left,Gasoline,Black,Black,3.5,,AWD4x4,4,"16""",6,2016 Acura RDX,$ 29 000,ACURA,RDX
2903220,126000km,,SUV/Truck,Automatic,Left,Gasoline,Gray,,,,,,,,2017 Acura RDX,$ 23 900,ACURA,RDX
2795921,77000miles,AcuraRDXTechnology,SUV/Truck,Automatic,Left,Gasoline,White,Beige,3.5,,AWD4x4,5,,,2017 Acura RDX,$ 26 000,ACURA,RDX
2887956,55269miles,,SUV/Truck,Automatic,Left,Gasoline,Gray,Black,3.5,290,AWD4x4,5,"18""",6,2018 Acura MDX,$ 22 900,ACURA,MDX
2897887,40900miles,Advance,Hatchback,Automatic,Left,Gasoline,White,,,,,,,,2018 Acura MDX,$ 36 000,ACURA,MDX
2843325,109000km,,SUV/Truck,Automatic,Left,Gasoline,White,,,,,,,,2017 Acura MDX,֏ 8 900 000,ACURA,MDX
2677492,30000miles,Mdx,SUV/Truck,Automatic,Left,Gasoline,Gray,,,,,,,,2017 Acura MDX,$ 35 000,ACURA,MDX
2458925,60000miles,,Sedan,Automatic,Left,Gasoline,Black,,,,,,,,2018 Audi A6,$ 33 500,AUDI,A6
2846550,280000km,C7,Sedan,Automatic,Left,Gasoline,Black,Black,3.0,340,AWD4x4,4,"19""",6,2018 Audi A6,$ 35 000,AUDI,A6
2370480,36450km,AudiA6superjarget,Sedan,Automatic,Left,Gasoline,Օthercolor,,,,,,,,2017 Audi A6,$ 42 700,AUDI,A6
2837007,124000km,,Sedan,Automatic,Left,Gasoline,Black,Black,2.0,215,FWD,4,"18""",4,2016 Audi A4,$ 17 000,AUDI,A4
2889601,70000miles,,Sedan,Automatic,Left,Gasoline,Black,,,,,,,,2017 BMW 640,$ 35 000,BMW,6 SERIES
2833629,142000km,,Coupe,Automatic,Left,Gasoline,Black,,,,,,,,2017 BMW 640,$ 38 000,BMW,6 SERIES
2808993,25000miles,MPerformans,Coupe,Automatic,Left,Gasoline,Blue,,,,,,,,2017 BMW 640,$ 37 000,BMW,6 SERIES
2910151,100000km,M,Sedan,Automatic,Left,Gasoline,Black,Black,3.0,320,AWD4x4,4,,6,2016 BMW 640,$ 37 000,BMW,6 SERIES
2863943,68000km,640ixDirve,Sedan,Automatic,Left,Gasoline,Black,,,,,,,,2016 BMW 640,$ 42 500,BMW,6 SERIES
2458453,50000miles,,Sedan,Automatic,Left,Gasoline,Black,,,,,,,,2017 BMW 540,$ 41 000,BMW,5 SERIES
2458837,26000miles,,Sedan,Automatic,Left,Gasoline,White,,,,,,,,2018 BMW 520,$ 39 000,BMW,5 SERIES
2879278,50000miles,,Sedan,Automatic,Left,Gasoline,Black,,2.0,,AWD4x4,,,4,2016 BMW 528,$ 24 000,BMW,5 SERIES
2893980,80000km,sportline,Sedan,Automatic,Left,Gasoline,Black,Black,,249,,,"18""",,2018 BMW 530,$ 38 000,BMW,5 SERIES
2878233,47000km,G30,Sedan,Automatic,Left,Gasoline,Օthercolor,,2.0,252,AWD4x4,,"19""",,2018 BMW 530,Negotiable,BMW,5 SERIES
2907320,38194miles,,Sedan,Automatic,Left,Gasoline,Black,,,,,,,,2018 BMW 530,Negotiable,BMW,5 SERIES
